Model,MAE,RMSE,R2
GradientBoosting,1.0172382992125493,1.6948227227375228,0.8551587161856282
DecisionTree,1.0348194197351765,1.7336679955125363,0.8477231485761758
KNN,1.162386980108499,1.7812215889954253,0.8398192339845478
Linear,1.2088375194537002,1.942304734162677,0.8158842108757847
